full_date,date,weekday,time,mood,activities,note
2020-02-14,14 February,Friday,11:32 pm,good,"cooking | home dinner | stayed in | Thảo | music | bed too late",""
2020-02-14,14 February,Friday,6:42 pm,grand,"small meal | Dessert | left the house | Thảo | strangers | TV | groceries | walk",""
2020-02-14,14 February,Friday,2:25 pm,grand,"left the house | Thảo | strangers | podcasts | sport | Climbing | cycling",""
2020-02-14,14 February,Friday,10:33 am,grand,"browsing | Up too late | shower",""
2020-02-13,13 February,Thursday,11:51 pm,grand,"cooking | home dinner | Dessert | stayed in | Thảo | TV | browsing | bed too late",""
2020-02-13,13 February,Thursday,6:18 pm,grand,"snacking | left the house | Thảo | strangers | groceries | mental task | cleaning | studying | walk",""
2020-02-13,13 February,Thursday,1:48 pm,grand,"small meal | stayed in | YouTube | mental task | studying",""
2020-02-13,13 February,Thursday,10:20 am,grand,"small meal | Thảo | browsing | Up too late | shower",""
2020-02-12,12 February,Wednesday,11:17 pm,shite,"home dinner | Dessert | Thảo | family | TV | mental task | studying | Bed on time | walk",""
2020-02-12,12 February,Wednesday,7:28 pm,grand,"snacking | left the house | family | podcasts | groceries | mental task | studying | walk",""
2020-02-12,12 February,Wednesday,1:00 pm,grand,"small meal | Dessert | stayed in | YouTube | mental task | cleaning | studying",""
2020-02-12,12 February,Wednesday,10:23 am,grand,"small meal | Thảo | browsing | Up too late | shower",""
2020-02-11,11 February,Tuesday,11:18 pm,grand,"home dinner | left the house | Thảo | strangers | podcasts | teaching | Bed on time | walk | cycling",""
2020-02-11,11 February,Tuesday,6:23 pm,bad,"snacking | left the house | strangers | browsing | podcasts | groceries | mental task | lesson | walk",""
2020-02-11,11 February,Tuesday,2:18 pm,grand,"small meal | left the house | browsing | mental task | studying | walk",""
2020-02-11,11 February,Tuesday,10:26 am,grand,"small meal | Thảo | Up too late | shower",""
2020-02-10,10 February,Monday,11:30 pm,bad,"cooking | home dinner | Dessert | Thảo | TV | browsing",""
2020-02-10,10 February,Monday,6:54 pm,bad,"snacking | small meal | Dessert | left the house | TV | browsing | mental task | studying | walk",""
2020-02-10,10 February,Monday,2:03 pm,grand,"snacking | small meal | stayed in | Thảo | TV | browsing | mental task | studying",""
2020-02-09,9 February,Sunday,10:00 pm,good,"home dinner | Dessert | stayed in | Thảo | TV | browsing | bed too late",""
2020-02-09,9 February,Sunday,8:20 pm,grand,"cooking | snacking | sex | Thảo | TV | browsing | social media",""
2020-02-09,9 February,Sunday,2:44 pm,grand,"cooking | small meal | stayed in | Thảo | TV | browsing",""
2020-02-09,9 February,Sunday,9:50 am,grand,"Up too late | shower",""
2020-02-08,8 February,Saturday,10:00 pm,grand,"Thảo | TV | bed too late",""
2020-02-08,8 February,Saturday,6:23 pm,good,"small meal | fine dining | Dessert | left the house | Thảo | walk",""
2020-02-08,8 February,Saturday,1:00 pm,grand,"small meal | left the house | animals | Thảo | family | gaming",""
2020-02-08,8 February,Saturday,9:02 am,grand,"browsing | Up too late | shower",""
2020-02-07,7 February,Friday,11:58 pm,grand,"home dinner | stayed in | sex | Thảo | TV | gaming | browsing | bed too late",""
2020-02-07,7 February,Friday,7:08 pm,grand,"cooking | snacking | small meal | stayed in | Thảo | TV | gaming | mental task | cleaning | studying",""
2020-02-07,7 February,Friday,1:41 pm,grand,"snacking | small meal | stayed in | Thảo | gaming | mental task | studying",""
2020-02-07,7 February,Friday,11:12 am,grand,"Thảo | Up too late",""
2020-02-06,6 February,Thursday,11:33 pm,good,"home dinner | left the house | sex | friends | Thảo | gaming | browsing | bed too late | sport | Climbing",""
2020-02-06,6 February,Thursday,7:40 pm,good,"small meal | wanking | left the house | Thảo | acquaintances | browsing | podcasts | teaching | labour | cycling | train",""
2020-02-06,6 February,Thursday,1:28 pm,grand,"small meal | left the house | acquaintances | browsing | labour | walk | cycling | train",""
2020-02-06,6 February,Thursday,8:37 am,grand,"small meal | browsing | Up on time | shower",""
2020-02-05,5 February,Wednesday,11:23 pm,grand,"home dinner | left the house | Thảo | strangers | TV | gaming | browsing | podcasts | teaching | Bed on time | walk | cycling",""
2020-02-05,5 February,Wednesday,6:43 pm,grand,"snacking | left the house | Thảo | acquaintances | gaming | browsing | labour | walk | train",""
2020-02-05,5 February,Wednesday,1:41 pm,grand,"small meal | left the house | acquaintances | podcasts | labour | train",""
2020-02-05,5 February,Wednesday,9:35 am,grand,"small meal | Thảo | browsing | Up too late | shower",""
2020-02-04,4 February,Tuesday,11:09 pm,grand,"home dinner | Thảo | TV | reading | gaming | browsing | Bed on time",""
2020-02-04,4 February,Tuesday,7:56 pm,grand,"cooking | left the house | Thảo | gaming | music | groceries | walk",""
2020-02-04,4 February,Tuesday,3:02 pm,grand,"snacking | small meal | wanking | stayed in | family | YouTube",""
2020-02-04,4 February,Tuesday,9:49 am,grand,"Thảo | browsing | Up too late | shower",""
2020-02-03,3 February,Monday,11:39 pm,grand,"home dinner | Thảo | TV | bed too late",""
2020-02-03,3 February,Monday,7:35 pm,grand,"cooking | left the house | strangers | reading | gaming | walk | cycling",""
2020-02-03,3 February,Monday,1:16 pm,grand,"snacking | small meal | wanking | left the house | Thảo | mental task | cleaning | cycling",""
2020-02-03,3 February,Monday,11:01 am,grand,"Thảo | browsing | Up too late | shower",""
2020-02-02,2 February,Sunday,11:12 pm,good,"home dinner | stayed in | sex | Thảo | TV | gaming | Bed on time",""
2020-02-02,2 February,Sunday,8:20 pm,good,"home dinner | left the house | animals | Thảo | family | TV | gaming",""
2020-02-02,2 February,Sunday,1:28 pm,grand,"snacking | small meal | guitar | stayed in | Thảo | TV",""
2020-02-02,2 February,Sunday,10:02 am,grand,"Thảo | browsing | shower",""
2020-02-01,1 February,Saturday,10:00 pm,grand,"left the house | Thảo | family | browsing | boardgames | bed too late",""
2020-02-01,1 February,Saturday,7:02 pm,good,"home dinner | left the house | family | strangers | TV | teaching | walk",""
2020-02-01,1 February,Saturday,2:04 pm,grand,"cooking | small meal | stayed in | TV | reading | browsing | cleaning | shower",""
2020-02-01,1 February,Saturday,10:19 am,grand,"browsing | Up too late",""
2020-01-31,31 January,Friday,10:00 pm,grand,"snacking | wanking | left the house | strangers | YouTube | browsing | bed too late | walk",""
2020-01-31,31 January,Friday,6:45 pm,grand,"snacking | small meal | wanking | stayed in | TV | browsing | cleaning",""
2020-01-31,31 January,Friday,2:10 pm,grand,"snacking | small meal | wanking | stayed in | gaming | shower",""
2020-01-31,31 January,Friday,10:41 am,grand,"browsing | Up too late",""
2020-01-30,30 January,Thursday,10:43 pm,good,"home dinner | left the house | friends | Thảo | TV | Bed on time | sport | Climbing",""
2020-01-30,30 January,Thursday,7:04 pm,grand,"snacking | small meal | left the house | Thảo | TV | groceries | walk",""
2020-01-30,30 January,Thursday,1:19 pm,grand,"small meal | stayed in | TV | browsing",""
2020-01-30,30 January,Thursday,11:47 am,grand,"browsing | Up too late",""
2020-01-29,29 January,Wednesday,10:00 pm,grand,"home dinner | left the house | sex | friends | Thảo | strangers | music | teaching | bed too late",""
2020-01-29,29 January,Wednesday,6:23 pm,grand,"small meal | stayed in | Thảo | strangers | TV | mental task | cleaning | studying",""
2020-01-29,29 January,Wednesday,10:07 am,grand,"Thảo | browsing | shower",""
2020-01-28,28 January,Tuesday,11:47 pm,grand,"home dinner | left the house | animals | sex | Thảo | family | TV | bed too late | walk",""
2020-01-28,28 January,Tuesday,6:12 pm,grand,"small meal | guitar | left the house | mental task | studying | walk",""
2020-01-28,28 January,Tuesday,1:10 pm,grand,"wanking | mental task | studying",""
2020-01-28,28 January,Tuesday,10:07 am,grand,"small meal | browsing | Up too late | shower",""
2020-01-27,27 January,Monday,11:53 pm,bad,"cooking | home dinner | stayed in | sex | Thảo | TV | browsing | Up too late",""
2020-01-27,27 January,Monday,6:15 pm,bad,"small meal | wanking | guitar | stayed in | TV | mental task | studying",""
2020-01-27,27 January,Monday,1:29 pm,grand,"small meal | stayed in | Thảo | TV | mental task",""
2020-01-27,27 January,Monday,10:37 am,grand,"Thảo | browsing | Up too late",""
2020-01-26,26 January,Sunday,11:32 pm,grand,"home dinner | sex | Thảo | TV | browsing | bed too late",""
2020-01-26,26 January,Sunday,6:40 pm,grand,"snacking | left the house | Thảo | TV | sport | walk",""
2020-01-26,26 January,Sunday,2:12 pm,grand,"small meal | guitar | Thảo",""
2020-01-26,26 January,Sunday,11:43 am,grand,"small meal | Thảo | browsing | shower",""
2020-01-25,25 January,Saturday,11:11 pm,grand,"home dinner | Thảo | gaming | Bed on time",""
2020-01-25,25 January,Saturday,6:24 pm,grand,"music | teaching | walk",""
2020-01-25,25 January,Saturday,1:50 pm,grand,"small meal | stayed in | Thảo",""
2020-01-25,25 January,Saturday,11:58 am,grand,"Thảo | Up too late",""
2020-01-24,24 January,Friday,10:00 pm,grand,"cooking | home dinner | Thảo | acquaintances | gaming | boardgames",""
2020-01-24,24 January,Friday,6:27 pm,grand,"snacking | left the house | Thảo | strangers | acquaintances | music | groceries | walk",""
2020-01-24,24 January,Friday,2:01 pm,bad,"snacking | small meal | stayed in | Thảo | browsing | cleaning",""
2020-01-24,24 January,Friday,10:20 am,grand,"browsing | Up too late | sick",""
2020-01-23,23 January,Thursday,11:33 pm,grand,"home dinner | left the house | Thảo | acquaintances | TV | music | bed too late | sport | Climbing",""
2020-01-23,23 January,Thursday,6:02 pm,bad,"small meal | guitar | stayed in | strangers | TV | gaming | browsing | mental task | studying",""
2020-01-23,23 January,Thursday,1:40 pm,grand,"small meal | wanking | stayed in | Thảo | TV | browsing | mental task | studying",""
2020-01-23,23 January,Thursday,10:21 am,grand,"small meal | Thảo | Up too late | shower",""
2020-01-22,22 January,Wednesday,11:37 pm,good,"home dinner | stayed in | sex | Thảo | TV | bed too late",""
2020-01-22,22 January,Wednesday,6:08 pm,grand,"snacking | small meal | stayed in | sex | Thảo | TV | YouTube | mental task | studying",""
2020-01-22,22 January,Wednesday,1:06 pm,grand,"small meal | stayed in | Thảo | mental task",""
2020-01-22,22 January,Wednesday,9:48 am,grand,"browsing | Up too late | sick | shower",""
2020-01-21,21 January,Tuesday,11:27 pm,grand,"snacking | Thảo | TV | Bed on time | sick",""
2020-01-21,21 January,Tuesday,6:51 pm,grand,"small meal | fast food | left the house | Thảo | browsing | music | groceries | walk",""
2020-01-21,21 January,Tuesday,1:51 pm,grand,"snacking | small meal | stayed in | Thảo | mental task | studying",""
2020-01-21,21 January,Tuesday,9:54 am,grand,"browsing | Up too late",""
2020-01-20,20 January,Monday,10:48 pm,bad,"home dinner | fast food | Thảo | TV | music",""
2020-01-20,20 January,Monday,6:00 pm,bad,"small meal | left the house | strangers | browsing | podcasts | mental task | studying | walk",""
2020-01-20,20 January,Monday,2:10 pm,grand,"snacking | small meal | stayed in | Thảo | gaming | mental task | studying",""
2020-01-20,20 January,Monday,9:50 am,grand,"Thảo | browsing | Up too late | shower",""
2020-01-19,19 January,Sunday,10:00 pm,grand,"sex | Thảo | TV | browsing | social media",""
2020-01-19,19 January,Sunday,8:19 pm,good,"home dinner | Dessert | left the house | Thảo | family | strangers | walk",""
2020-01-19,19 January,Sunday,1:53 pm,good,"small meal | stayed in | sex | Thảo | browsing",""
2020-01-19,19 January,Sunday,9:57 am,grand,"browsing | Up too late",""
2020-01-18,18 January,Saturday,11:55 pm,grand,"fast food | Dessert | left the house | friends | Thảo | family | TV | bed too late",""
2020-01-18,18 January,Saturday,6:30 pm,grand,"left the house | animals | Thảo | family",""
2020-01-18,18 January,Saturday,1:19 pm,grand,"small meal | left the house | Thảo | family | TV",""
2020-01-18,18 January,Saturday,10:14 am,grand,"small meal | browsing | bed too late | shower",""
2020-01-17,17 January,Friday,11:41 pm,bad,"cooking | home dinner | Dessert | stayed in | Thảo | TV",""
2020-01-17,17 January,Friday,6:39 pm,bad,"snacking | small meal | left the house | music | mental task | studying | walk",""
2020-01-17,17 January,Friday,1:15 pm,grand,"home dinner | stayed in | Thảo | mental task | studying",""
2020-01-17,17 January,Friday,11:17 am,grand,"Thảo | browsing | Up too late | shower",""
2020-01-16,16 January,Thursday,10:55 pm,grand,"small meal | Dessert | Thảo | TV | browsing | Bed on time",""
2020-01-16,16 January,Thursday,6:51 pm,good,"snacking | small meal | left the house | Thảo | cinema | walk",""
2020-01-16,16 January,Thursday,1:50 pm,good,"small meal | left the house | Thảo | YouTube | walk",""
2020-01-16,16 January,Thursday,11:24 am,good,"Thảo | Up too late | shower",""
2020-01-15,15 January,Wednesday,10:00 pm,good,"home dinner | Dessert | stayed in | Thảo | TV | bed too late",""
2020-01-15,15 January,Wednesday,7:26 pm,grand,"small meal | left the house | Thảo | TV | gaming | groceries | walk",""
2020-01-15,15 January,Wednesday,3:12 pm,grand,"small meal | stayed in | Thảo | TV",""
2020-01-15,15 January,Wednesday,10:29 am,bad,"Thảo | browsing | Up too late | shower",""
2020-01-14,14 January,Tuesday,10:00 pm,good,"home dinner | stayed in | Thảo | TV | bed too late",""
2020-01-14,14 January,Tuesday,6:26 pm,bad,"small meal | stayed in | gaming | browsing",""
2020-01-14,14 January,Tuesday,2:10 pm,grand,"small meal | stayed in | gaming | online shopping | shower",""
2020-01-14,14 January,Tuesday,10:32 am,grand,"browsing | Up too late",""
2020-01-13,13 January,Monday,11:03 pm,good,"home dinner | left the house | animals | Thảo | family | TV | Bed on time | walk",""
2020-01-13,13 January,Monday,6:23 pm,grand,"small meal | left the house | music | groceries | mental task | studying | walk",""
2020-01-13,13 January,Monday,1:43 pm,grand,"small meal | stayed in | mental task | shower",""
2020-01-13,13 January,Monday,11:03 am,grand,"Thảo | browsing | Up too late",""
2020-01-12,12 January,Sunday,11:28 pm,good,"Dessert | guitar | stayed in | Thảo | gaming | Bed on time",""
2020-01-12,12 January,Sunday,8:01 pm,good,"home dinner | stayed in | Thảo | TV",""
2020-01-12,12 January,Sunday,3:50 pm,good,"small meal | stayed in | Thảo | TV | YouTube | browsing",""
2020-01-12,12 January,Sunday,10:48 am,grand,"browsing | Up too late",""
2020-01-11,11 January,Saturday,10:27 pm,grand,"sex | Thảo | reading | browsing",""
2020-01-11,11 January,Saturday,8:11 pm,good,"small meal | left the house | Thảo | TV | browsing | groceries | walk",""
2020-01-11,11 January,Saturday,1:17 pm,grand,"small meal | stayed in | cleaning | shower",""
2020-01-11,11 January,Saturday,11:16 am,grand,"browsing | Up too late",""
2020-01-10,10 January,Friday,10:00 pm,grand,"home dinner | stayed in | TV | gaming | browsing | cleaning | bed too late",""
2020-01-10,10 January,Friday,6:14 pm,grand,"snacking | guitar | stayed in | TV | mental task | studying",""
2020-01-10,10 January,Friday,1:17 pm,grand,"small meal | wanking | stayed in | mental task | studying",""
2020-01-10,10 January,Friday,10:53 am,grand,"browsing | Up too late",""
2020-01-09,9 January,Thursday,11:28 pm,grand,"home dinner | Dessert | wanking | left the house | TV | browsing | bed too late | shower | sport | walk",""
2020-01-09,9 January,Thursday,6:25 pm,good,"snacking | small meal | left the house | TV | gaming | browsing | groceries | mental task | studying | walk",""
2020-01-09,9 January,Thursday,1:53 pm,grand,"stayed in | gaming | mental task | studying",""
2020-01-09,9 January,Thursday,11:35 am,good,"small meal | browsing | Up too late",""
2020-01-08,8 January,Wednesday,11:30 pm,good,"cooking | home dinner | stayed in | TV | gaming | browsing",""
2020-01-08,8 January,Wednesday,6:15 pm,good,"small meal | guitar | stayed in | TV | mental task | studying",""
2020-01-08,8 January,Wednesday,1:50 pm,good,"small meal | stayed in | mental task | studying",""
2020-01-08,8 January,Wednesday,11:19 am,grand,"wanking | browsing | Up too late | sick | shower",""
2020-01-07,7 January,Tuesday,11:29 pm,good,"home dinner | wanking | left the house | family | strangers | gaming | browsing | podcasts | music | Bed on time | sport | walk | soccer",""
2020-01-07,7 January,Tuesday,6:19 pm,good,"home dinner | stayed in | gaming | mental task | studying",""
2020-01-07,7 January,Tuesday,1:07 pm,grand,"small meal | wanking | left the house | music | walk",""
2020-01-07,7 January,Tuesday,10:25 am,grand,"browsing | Up too late | shower",""
2020-01-06,6 January,Monday,11:40 pm,grand,"Dessert | stayed in | gaming | browsing | bed too late",""
2020-01-06,6 January,Monday,9:23 pm,good,"cooking | home dinner | wanking | guitar | stayed in | TV | gaming | mental task | studying",""
2020-01-06,6 January,Monday,1:19 pm,grand,"small meal | left the house | gaming | music | mental task | studying | Medical | walk",""
2020-01-06,6 January,Monday,9:18 am,bad,"Up too late | sick",""
2020-01-05,5 January,Sunday,11:20 pm,good,"small meal | wanking | guitar | stayed in | gaming | browsing | bed too late",""
2020-01-05,5 January,Sunday,6:27 pm,good,"fine dining | animals | family | gaming",""
2020-01-05,5 January,Sunday,2:00 pm,grand,"guitar | family | gaming | studying",""
2020-01-05,5 January,Sunday,11:45 am,grand,"wanking | browsing | social media | Up too late | shower",""
2020-01-04,4 January,Saturday,10:00 pm,good,"home dinner | wanking | left the house | animals | family | TV | hungover",""
2020-01-04,4 January,Saturday,1:00 pm,grand,"music | hungover | shower | walk",""
2020-01-04,4 January,Saturday,11:37 am,grand,"hungover",""
2020-01-03,3 January,Friday,10:00 pm,good,"fast food | friends | drinking | went out | coke",""
2020-01-03,3 January,Friday,8:27 pm,good,"fast food | friends | drinking | went out | studying | walk | bus",""
2020-01-03,3 January,Friday,1:03 pm,grand,"small meal | left the house | YouTube | walk",""
2020-01-03,3 January,Friday,11:09 am,grand,"browsing | Up too late | shower",""
2020-01-02,2 January,Thursday,11:55 pm,bad,"home dinner | wanking | stayed in | gaming | browsing | bed too late",""
2020-01-02,2 January,Thursday,6:49 pm,grand,"home dinner | left the house | gaming | groceries",""
2020-01-02,2 January,Thursday,1:22 pm,grand,"small meal | stayed in | mental task",""
2020-01-02,2 January,Thursday,11:31 am,grand,"Up too late | sick | shower",""
2020-01-01,1 January,Wednesday,11:07 pm,grand,"guitar | TV | gaming | browsing | bed too late",""
2020-01-01,1 January,Wednesday,8:53 pm,grand,"ate in | Meal | TV | gaming | groceries | walk",""
2020-01-01,1 January,Wednesday,2:01 pm,grand,"ate in | Meal | gaming",""
2019-12-31,31 December,Tuesday,11:55 pm,grand,"ate in | Meal | wanking | friends | gaming | walk",""
2019-12-31,31 December,Tuesday,7:10 pm,bad,"wanking | gaming",""
2019-12-31,31 December,Tuesday,2:36 pm,grand,"ate in | Meal | gaming | hungover",""
2019-12-30,30 December,Monday,10:00 pm,good,"ate in | Meal | friends | Thảo | gaming | drinking | went out | walk",""
2019-12-30,30 December,Monday,6:13 pm,grand,"ate in | Meal | friends | gaming | walk",""
2019-12-30,30 December,Monday,1:09 pm,grand,"ate in | Meal | holiday | driving",""
2019-12-29,29 December,Sunday,11:40 pm,grand,"ate in | Meal | Thảo | family",""
2019-12-29,29 December,Sunday,6:38 pm,grand,"ate in | Meal | animals | Thảo | family | gaming | driving",""
2019-12-29,29 December,Sunday,2:06 pm,grand,"ate in | Meal | animals | Thảo | family | sick | hungover | driving",""
2019-12-28,28 December,Saturday,10:00 pm,grand,"ate out | Meal | friends | Thảo | drinking | went out",""
2019-12-28,28 December,Saturday,7:36 pm,grand,"ate in | Meal | Thảo | family | gaming | sick",""
2019-12-28,28 December,Saturday,2:17 pm,grand,"ate in | Meal | Thảo | family | labour | sick",""
2019-12-27,27 December,Friday,6:00 pm,grand,"friends | Thảo | holiday | driving",""
2019-12-27,27 December,Friday,1:40 pm,grand,"ate out | friends | Thảo | sick | hungover | driving",""
2019-12-26,26 December,Thursday,10:00 pm,grand,"ate in | Meal | friends | Thảo | drinking | holiday",""
2019-12-26,26 December,Thursday,7:16 pm,grand,"ate out | Meal | friends | Thảo | drinking | holiday | driving",""
2019-12-26,26 December,Thursday,1:28 pm,grand,"ate in | Meal | Thảo | holiday | driving",""
2019-12-25,25 December,Wednesday,10:00 pm,grand,"ate in | Meal | Thảo | family | gaming | boardgames",""
2019-12-25,25 December,Wednesday,8:01 pm,grand,"ate in | Meal | Thảo | family | TV | gaming",""
2019-12-25,25 December,Wednesday,1:38 pm,grand,"Thảo | family | gaming",""
2019-12-24,24 December,Tuesday,10:00 pm,grand,"Thảo | family | gaming | boardgames",""
2019-12-24,24 December,Tuesday,6:08 pm,grand,"ate in | Meal | Thảo | family | driving",""
2019-12-24,24 December,Tuesday,2:07 pm,grand,"ate in | Meal | Thảo | family | holiday | driving",""
2019-12-23,23 December,Monday,11:52 pm,grand,"ate in | Meal | Thảo | family | boardgames | driving",""
2019-12-23,23 December,Monday,6:51 pm,grand,"Thảo | family | holiday | driving",""
2019-12-23,23 December,Monday,1:02 pm,grand,"ate in | Meal | Thảo | strangers | walk | holiday",""
2019-12-22,22 December,Sunday,10:00 pm,grand,"ate out | Meal | friends | Thảo | drinking | walk",""
2019-12-22,22 December,Sunday,6:18 pm,grand,"ate in | Meal | Thảo | browsing",""
2019-12-22,22 December,Sunday,1:13 pm,bad,"ate in | Meal | animals | family | sick | hungover",""
2019-12-21,21 December,Saturday,11:14 pm,grand,"ate out | ate in | Meal | guitar | friends | Thảo | strangers | drinking | walk",""
2019-12-21,21 December,Saturday,6:07 pm,bad,"Thảo | strangers | walk",""
2019-12-21,21 December,Saturday,3:20 pm,grand,"ate in | Meal | Thảo | family | strangers | browsing",""
2019-12-20,20 December,Friday,10:00 pm,grand,"ate out | Meal | sex | friends | Thảo | drinking | sick | walk",""
2019-12-20,20 December,Friday,6:06 pm,grand,"ate in | Meal | Thảo | family | walk",""
2019-12-20,20 December,Friday,1:43 pm,grand,"ate in | Meal | mental task",""
2019-12-19,19 December,Thursday,10:00 pm,grand,"friends | Thảo | boardgames | walk",""
2019-12-19,19 December,Thursday,7:52 pm,grand,"ate out | Meal | Thảo | family | groceries | walk",""
2019-12-19,19 December,Thursday,1:07 pm,grand,"ate in | Meal | Thảo | strangers | walk",""
2019-12-18,18 December,Wednesday,10:00 pm,grand,"friends | Thảo | browsing | sport | Climbing",""
2019-12-18,18 December,Wednesday,6:11 pm,grand,"cooking | ate in | Meal | Thảo | TV | groceries | walk",""
2019-12-18,18 December,Wednesday,2:06 pm,grand,"ate in | Meal | wanking | Thảo | groceries | walk",""
2019-12-17,17 December,Tuesday,11:51 pm,grand,"ate in | Meal | Thảo | TV | walk",""
2019-12-17,17 December,Tuesday,6:27 pm,grand,"ate in | Meal | sex | Thảo | studying",""
2019-12-17,17 December,Tuesday,1:20 pm,bad,"ate in | Meal | animals | Thảo | family | groceries | Medical | walk",""
2019-12-16,16 December,Monday,10:00 pm,grand,"ate in | Meal | animals | family | TV | gaming",""
